,uuid, sensorpoint
477@1042@V,0d7ca2b3-ab5e-4ab0-b5a5-83f8a933acf4,PresentValue
957@-488@V,e92d7e25-62d0-4753-b292-2c30b589e994,PresentValue
956@-99@V,acd6b5d8-b6a2-4b70-a8f3-20fcb5c2f544,PresentValue
955@-479@V,b7ef6cc8-d78d-4a96-9cd8-54864a905611,PresentValue
955@-118@V,33cfc7ab-81ae-4b52-a056-48f6660d976a,PresentValue
957@-505@V,f6f7f3b8-c5f6-4eb1-8338-7ed038d3b3b8,PresentValue
955@-497@V,601c4b1c-330a-446d-be24-03c8cbdde85b,PresentValue
956@-130@V,6e151019-573f-4996-8e9c-f0789ff92028,PresentValue
956@-110@V,c1b38a6c-ce56-4079-99f6-b6dec9bc507d,PresentValue
490@-479@V,ef14eada-a861-48b5-ab26-f22a72e95db1,PresentValue
973@-497@V,dbb28e00-4493-4e99-8284-643c768f33ae,PresentValue
490@-497@V,4efb080f-3a1e-49d3-99d6-8213a5fdb6e7,PresentValue
972@-110@V,c1d76223-d8d8-4fcb-a164-bc811f401723,PresentValue
971@-118@V,fae2d857-6e79-47e0-b8dd-50a728015a02,PresentValue
975@-110@V,1f537049-fd07-46bb-b290-c3f4563e7652,PresentValue
975@-497@V,1ffacee1-c842-41e6-9d5a-4d34eed742ba,PresentValue
493@1042@V,f1441e0f-79ce-4007-85fc-b327e07f79de,PresentValue
497@-497@V,8f5426b7-239d-4f1c-bf9c-95080e04285d,PresentValue
49@1042@V,d37b3781-b9ae-462b-a50c-c4d34479d385,PresentValue
500@1042@V,2b8e9205-6b3a-4804-89db-d7ea1d85d4d5,PresentValue
1099@-110@V,34a0e037-aa1c-4493-b654-580d615d870a,PresentValue
996@1042@V,2a1068f6-a2e6-46eb-85f6-dc1e8c5c1d3e,PresentValue
1100@-130@V,a1e90d5d-8dcc-42da-ba32-349527bca42c,PresentValue
1100@-118@V,3b12fb7f-0b65-431c-b7cb-1ea561dfae49,PresentValue
519@1042@V,64835835-ce45-4455-a1a0-215c81f28780,PresentValue
1100@-505@V,6c6eb8a9-6895-4c4e-9886-1f5876c84434,PresentValue
524@1042@V,4c41eb09-884a-4442-8fdb-d27cd3a3b367,PresentValue
526@-110@V,3e842910-1cb5-43df-9a85-a583f6b54b9d,PresentValue
526@-479@V,91f5b5bc-fdbe-43d0-b22a-24c3b8f56fdb,PresentValue
531@1042@V,26a93db9-53a6-46db-9393-73333f07a5aa,PresentValue
1011@-110@V,7856d405-b20d-4f59-93af-0434cef89529,PresentValue
532@1042@V,c3885768-73ed-40f7-9318-a8c65a04fb37,PresentValue
1012@-110@V,eca5ce64-7cd2-40e5-b4c8-65691999942a,PresentValue
544@-110@V,aafb1510-4300-406f-afd7-3b3efa197f79,PresentValue
1013@-110@V,16fb2819-00d2-40b0-bdb0-127fbf9d1556,PresentValue
549@1042@V,cdfe9e7a-5d99-47d8-93f2-88db8bdc626e,PresentValue
556@1042@V,a2cc5dc4-1669-43df-87fb-6219ac622393,PresentValue
570@1042@V,2a2560e9-3a19-4a1a-aceb-b706e5583867,PresentValue
